Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BHS,,,,,,,,,,,,,,,,,,11.40252454,10.3195579,11.87050256,15.94398263,16.74728356,18.92542609,17.93051708,15.99627652,17.57228498,17.19716886,18.72144505,,28.6708034,25.62760581,25.41142211,26.13058861,21.33311772,24.17766186,25.43861184,27.68550845,28.11747911,31.16100462,27.67615798,27.99614188,25.40205799,22.89790973,23.04260723,22.01586034,26.1442427,32.34404583,29.38029862,28.28614858,26.77430084,26.69338415,28.3661604,30.30950338,28.31040638,30.2654613,23.58670676,24.78010925,26.46763451,24.42898153,24.20576938,21.9999614,23.30231785,22.55771113,21.77417771,25.74970946,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.26847306,34.03526728,34.21655688,32.56667167,23.89676236,31.1070294,29.01327818,28.96813327,27.76350784,26.91776429,29.37813539,23.26641484,27.43223873,29.38700866,24.17088521,21.19037904,22.45294603,22.31367103,21.45866938,23.40176998,21.35356159,21.09124457,22.18209775,22.82227039,23.06392152,23.15091338,21.62668317,22.57744969,23.79318392,24.36512397,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.93995381,22.22222222,25,33.90862944,33.26027089,24.69790697,21.07913407,25.23103345,25.93465032,26.32697127,25.2015481,22.66904246,21.9847427,23.74824968,25.31735205,26.51662668,29.66076678,31.37632468,33.30374726,35.53743262,38.82708438,37.68588586,33.41611021,37.18684605,33.22436403,28.65431481,25.44007836,26.15798661,26.2274188,27.03453743,25.3653467,22.5711362,19.44771628,22.55536338,23.50659012,25.08219014
BLZ,,,,,,,,,,,,,,,,,,,,,16.56649223,17.72287152,15.71546671,13.1844589,14.27925245,12.24372868,12.34397689,15.47727553,18.53718602,19.57076685,22.05142705,24.20554429,22.99474453,24.97823378,18.30514305,19.46261881,18.13331293,17.69059006,16.49535492,21.3333416,24.79992103,22.13479148,20.04770353,16.95032467,15.77388834,16.54471374,16.75620139,17.59906697,22.04342411,16.53100961,13.87679301,14.24469693,13.54813966,14.66077307,16.46533774,16.36015884,18.02598266,15.41761008,16.58225445,16.75690979,17.15691116,19.93539093,20.51926535,20.50100764,21.13405167,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.04302674,12.58254206,11.01442918,10.89311134,12.094597,11.89258583,12.80320862,13.76364473,13.4097576,14.74851703,12.23790408,12.90292491,12.70260987,11.21508516,11.03875263,
BOL,,,,,,,,,,,14.83198146,14.98924401,15.68779904,17.88144983,15.58558987,18.81832163,19.54561253,19.22237191,21.79330337,19.31049773,16.9190807,16.17380349,14.98695682,12.52967637,15.17689698,14.46359663,13.38158682,12.08552566,12.70120857,11.99131738,12.55848919,14.48402371,16.31557019,16.66438332,14.85147714,15.53352715,16.17636874,18.96895135,23.15321599,19.0973227,17.88747896,13.92677322,15.64964696,12.66392267,11.68712102,12.99084691,14.29667967,16.13959369,17.24871715,16.4792608,16.57224535,18.96562563,18.36287724,19.06008183,20.98204962,21.37105961,20.67048419,23.11766583,22.82329911,22.91420534,15.79373053,17.04314899,17.38066963,17.70805633,16.60881176,
BRA,,,,,,,,,,,18.83382251,19.90825494,20.33176656,20.36840996,21.84540424,23.32888529,22.41805602,21.3455067,22.26512497,23.36074238,22.67378128,23.43039931,22.25523897,19.43479702,18.74090871,17.91785449,19.96083966,23.17362585,24.34364824,26.90278704,20.6635852,18.1090137,18.42325903,19.28311611,20.74808454,20.28629762,18.64065378,19.12290113,18.5423485,17.01629422,18.30448803,18.4180865,17.92625082,16.60475915,17.32023332,17.05618346,17.21029958,17.99576134,19.38532956,19.10195804,20.53467365,20.60896421,20.71671277,20.91192187,19.87302891,17.83580705,15.52432732,14.55898652,15.09691196,15.47116974,16.56102156,17.91784905,17.80040239,16.41097511,16.90936132,16.83902523
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.13243125,10.8883468,12.14908655,15.37633433,19.62427387,18.10879847,22.53987421,27.57809826,23.67095209,24.67193697,15.588759,18.64919484,21.06258181,33.79787685,21.92381653,19.53785752,16.10423637,15.19736036,19.76227309,20.6452002,26.21346596,23.53213958,25.91402053,32.76609054,39.45760176,27.27830211,35.02798519,34.36847535,34.58756769,40.89148804,38.50702739,40.37762875,31.08439132,25.67803325,29.42540136,27.69775102,26.91452271
BTN,,,,,,,,,,,,,,,,,,,,,32.84829575,34.47011114,36.97628525,40.88931959,38.27144671,45.51838741,42.72626997,37.14247687,39.79317268,36.62291685,23.54882031,34.38148568,40.79001539,42.92842546,42.82589036,42.31770753,37.75735903,32.67821892,34.17130444,40.03437752,52.3538772,62.23825397,67.93486875,66.51477893,68.93443326,61.71060973,48.27469707,40.22476021,45.2241686,49.7747232,62.73690059,67.79043837,69.15492624,63.35056632,54.62804126,56.1511419,56.92566527,54.26420338,53.60363352,45.79967956,38.57053483,43.98969894,55.10768815,44.60665446,42.14550629,
