Country Code,Indicator Code,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GUM,GE,,,,0.2693143,-0.2988565,-0.3018027,-0.2973473,-0.2938721,-0.2817378,-0.279435,-0.2807897,-0.2804485,-0.2800675,0.767958,0.7651163,0.7661041,0.7664249,0.7681859,0.7699023,0.7650002,0.7679093,0.952868,0.9540388,1.269394
GTM,GE,-1.0470244,-0.9260441,-0.9461887,-0.8896651,-0.8990503,-0.7008041,-0.6725821,-0.6490196,-0.581593,-0.6073928,-0.6813602,-0.6922625,-0.6452598,-0.5721862,-0.6527228,-0.6757539,-0.6982041,-0.7651424,-0.7779291,-0.7764521,-0.7444335,-0.8842065,-0.8628806,-0.9093696
GIN,GE,-0.9274028,-1.0001954,-1.0068843,-0.8587699,-0.8517131,-1.2749881,-1.2277332,-1.1636273,-1.1868935,-1.1136703,-1.1619696,-1.2211888,-1.110455,-1.0008725,-0.9452185,-0.8784328,-0.888003,-0.838006,-0.6765097,-0.8118614,-0.808594,-0.9248516,-0.8735118,-0.8881627
GNB,GE,-0.973968,-0.973804,-1.3193929,-1.532916,-1.4154101,-1.0792857,-1.0464922,-0.9904376,-0.9508997,-0.9602743,-1.0116558,-1.2131091,-1.4128951,-1.4525813,-1.3953114,-1.4408281,-1.5425984,-1.235343,-1.2804308,-1.2811844,-1.3839632,-1.5281779,-1.4517345,-1.3676142
GUY,GE,0.1307483,0.1309123,0.1225187,-0.0177433,-0.3480773,-0.1107271,0.0182251,-0.1494954,-0.0858978,-0.042627,-0.045055,-0.0195935,-0.0235782,-0.0947731,-0.1184435,-0.1181524,-0.1613265,-0.0849901,-0.0844712,-0.2652471,-0.1426381,-0.1291709,-0.0976685,-0.0982402
HTI,GE,-1.3577285,-1.8375513,-1.8356586,-1.8983869,-1.6556466,-1.6592686,-1.658091,-1.4364822,-1.4421191,-1.5677862,-1.6189617,-1.599663,-1.523841,-1.9298374,-1.869399,-1.8833592,-1.8904667,-1.7517146,-1.8885565,-1.9163196,-2.0602282,-2.0132007,-2.0108367,-2.0156868
HND,GE,-1.0776822,-1.0247734,-1.0735697,-0.7452631,-0.697415,-0.7164582,-0.6132121,-0.6867311,-0.6465044,-0.6254799,-0.6040037,-0.6881574,-0.8050534,-0.6009781,-0.5555614,-0.4312883,-0.4193229,-0.5271479,-0.5125275,-0.5825031,-0.6672516,-0.6862582,-0.6579014,-0.6196728
HKG,GE,1.5133566,1.2504701,1.5744373,1.5131642,1.6041045,1.756447,1.6859842,1.6855332,1.6388612,1.6058929,1.6227774,1.8817297,1.7309633,1.8462661,1.8408043,1.9071365,1.9265977,1.9404871,1.888806,1.5914491,1.6245817,1.6433381,1.5374202,1.6374532
HUN,GE,0.9862345,0.9692987,0.8500324,0.7962749,0.7528133,0.7191893,0.4939081,0.4953579,0.5418594,0.4504472,0.4689702,0.4322592,0.5712638,0.6662414,0.579719,0.5552886,0.6076573,0.6259032,0.5238239,0.7208016,0.784219,0.657731,0.5461907,0.501908
ISL,GE,1.9624344,2.0283331,2.0805814,1.9606064,2.0321618,1.581421,1.502124,1.6156504,1.636125,1.4263824,1.4235563,1.4729315,1.5285978,1.3980102,1.3946724,1.382973,1.4685991,1.5836283,1.5796502,1.5637066,1.8005665,1.6330091,1.6402729,1.645973
