Code,Year,TFP
BHR,2004,1.4759027
BHR,2005,1.4584422
BHR,2006,1.4375156
BHR,2007,1.4048607
BHR,2008,1.3318882
BHR,2009,1.2705994
BHR,2010,1.2680411
BHR,2011,1.2606622
BHR,2012,1.2447394
BHR,2013,1.2251024
BHR,2014,1.1969557
BHR,2015,1.1558832
BHR,2016,1.1155125
BHR,2017,1.1017847
BHR,2018,1.0605974
BHR,2019,1.0525762
BHR,2020,0.988826
BHR,2021,1
BHR,2022,0.99517006
BHR,2023,0.9661189
BRB,1964,0.96063304
BRB,1965,1.0109925
BRB,1966,0.99318594
BRB,1967,1.097975
BRB,1968,1.1296192
BRB,1969,1.1839257
BRB,1970,1.2646465
BRB,1971,1.3151366
BRB,1972,1.325236
BRB,1973,1.337419
BRB,1974,1.2825903
BRB,1975,1.3461258
BRB,1976,1.3257221
BRB,1977,1.3774935
BRB,1978,1.4303024
BRB,1979,1.4140735
BRB,1980,1.462247
BRB,1981,1.3851066
BRB,1982,1.3232691
BRB,1983,1.3115863
BRB,1984,1.3499999
BRB,1985,1.3468336
BRB,1986,1.3593256
BRB,1987,1.3500694
BRB,1988,1.3414463
BRB,1989,1.2870551
BRB,1990,1.2518547
BRB,1991,1.1756679
BRB,1992,1.1373743
BRB,1993,1.1940719
BRB,1994,1.1603059
BRB,1995,1.0881999
BRB,1996,1.0805961
BRB,1997,1.0938482
BRB,1998,1.0800536
BRB,1999,1.043425
BRB,2000,1.0513917
BRB,2001,1.0103267
BRB,2002,1.0199496
BRB,2003,1.0298171
BRB,2004,1.0148135
BRB,2005,1.0334849
BRB,2006,1.0936655
BRB,2007,1.1342319
BRB,2008,1.189944
BRB,2009,1.2168976
BRB,2010,1.2360256
BRB,2011,1.2077771
BRB,2012,1.214879
BRB,2013,1.1817732
BRB,2014,1.1798861
BRB,2015,1.13127
BRB,2016,1.1136482
BRB,2017,1.1392304
BRB,2018,1.133442
BRB,2019,1.1647875
BRB,2020,1.0195619
BRB,2021,1
BRB,2022,1.1451195
BRB,2023,1.1761814
BEL,1954,0.51948684
BEL,1955,0.5322253
BEL,1956,0.54293877
BEL,1957,0.54589295
BEL,1958,0.5451376
BEL,1959,0.56346124
BEL,1960,0.5816205
BEL,1961,0.60190177
BEL,1962,0.62060004
BEL,1963,0.6384712
BEL,1964,0.66807437
BEL,1965,0.68189687
BEL,1966,0.6892838
BEL,1967,0.7080347
BEL,1968,0.732213
BEL,1969,0.75748307
BEL,1970,0.7941949
BEL,1971,0.80608207
BEL,1972,0.8406908
BEL,1973,0.87581336
BEL,1974,0.89297587
BEL,1975,0.87585723
BEL,1976,0.90676343
BEL,1977,0.9044855
BEL,1978,0.9141377
BEL,1979,0.9161389
BEL,1980,0.94416994
BEL,1981,0.9473214
BEL,1982,0.9539577
BEL,1983,0.9510506
BEL,1984,0.95265806
BEL,1985,0.9508694
BEL,1986,0.95941705
BEL,1987,0.96992415
BEL,1988,0.9908188
BEL,1989,1.0000374
BEL,1990,0.9972621
BEL,1991,1.0090709
BEL,1992,1.01605
BEL,1993,1.014218
BEL,1994,1.0345693
BEL,1995,1.0298427
BEL,1996,1.0270175
BEL,1997,1.0404738
BEL,1998,1.0337781
BEL,1999,1.0407071
BEL,2000,1.0398884
BEL,2001,1.0257866
BEL,2002,1.021553
BEL,2003,1.0176897
BEL,2004,1.036837
BEL,2005,1.0386536
BEL,2006,1.0389934
BEL,2007,1.0503953
BEL,2008,1.0341473
BEL,2009,1.0133513
BEL,2010,1.0206214
BEL,2011,1.0178566
BEL,2012,1.0103737
BEL,2013,1.0073644
BEL,2014,1.0143888
BEL,2015,1.0154812
BEL,2016,1.007934
BEL,2017,1.0015641
BEL,2018,0.99875265
BEL,2019,1.0013695
BEL,2020,0.99359107
BEL,2021,1
BEL,2022,1.0057261
BEL,2023,1.001897
BEN,1980,0.6711957
BEN,1981,0.68485
BEN,1982,0.7192893
BEN,1983,0.6637505
BEN,1984,0.69629395
BEN,1985,0.73416543
BEN,1986,0.73250943
BEN,1987,0.69553727
BEN,1988,0.6929568
BEN,1989,0.66422886
BEN,1990,0.7019913
BEN,1991,0.7054202
BEN,1992,0.70179665
BEN,1993,0.69949013
BEN,1994,0.6731793
BEN,1995,0.71242756
BEN,1996,0.7756653
BEN,1997,0.8472171
BEN,1998,0.90643346
BEN,1999,0.98523086
BEN,2000,1.0006367
BEN,2001,1.0174382
BEN,2002,1.0320584
BEN,2003,1.0313134
BEN,2004,1.0374776
BEN,2005,1.0221472
BEN,2006,1.0278854
BEN,2007,1.0467601
BEN,2008,1.0621171
BEN,2009,1.059856
BEN,2010,1.0358094
BEN,2011,1.0200826
BEN,2012,1.0259748
BEN,2013,1.0357144
BEN,2014,1.0394669
BEN,2015,1.0020002
BEN,2016,0.9913821
BEN,2017,0.99536717
BEN,2018,0.9991616
BEN,2019,1.0003889
BEN,2020,0.9882749
BEN,2021,1
BEN,2022,0.97746706
BEN,2023,0.9643665
BOL,1954,1.2549313
BOL,1955,1.3216641
BOL,1956,1.2309508
BOL,1957,1.2086828
BOL,1958,1.1792692
BOL,1959,1.1831743
BOL,1960,1.2219148
BOL,1961,1.2151467
BOL,1962,1.2363288
BOL,1963,1.2732433
BOL,1964,1.279481
BOL,1965,1.283887
BOL,1966,1.3214331
BOL,1967,1.3999729
BOL,1968,1.1797324
BOL,1969,1.1964945
BOL,1970,1.1655548
BOL,1971,1.1937213
BOL,1972,1.2431118
BOL,1973,1.2625537
BOL,1974,1.2775173
BOL,1975,1.336066
BOL,1976,1.3530908
BOL,1977,1.3770093
BOL,1978,1.3414111
BOL,1979,1.2968135
BOL,1980,1.2556508
BOL,1981,1.2258177
BOL,1982,1.1794856
BOL,1983,1.118743
BOL,1984,1.0903941
BOL,1985,1.0470445
BOL,1986,1.009231
BOL,1987,1.0084239
BOL,1988,1.0270927
BOL,1989,1.0234517
BOL,1990,1.0253178
BOL,1991,1.0302608
BOL,1992,1.0065019
BOL,1993,1.0104625
BOL,1994,1.0063747
BOL,1995,1.0157981
BOL,1996,1.0207883
BOL,1997,1.0253873
BOL,1998,1.020897
BOL,1999,0.98646796
BOL,2000,0.97558814
BOL,2001,0.9846327
BOL,2002,0.99420184
BOL,2003,1.02133
BOL,2004,1.020035
BOL,2005,1.0398227
BOL,2006,1.0585555
BOL,2007,1.0705756
BOL,2008,1.0875646
BOL,2009,1.0916153
BOL,2010,1.0982114
BOL,2011,1.0958338
BOL,2012,1.0940746
BOL,2013,1.1147847
BOL,2014,1.1010172
BOL,2015,1.0990365
BOL,2016,1.0920591
BOL,2017,1.1045088
BOL,2018,1.1146442
BOL,2019,1.0858934
BOL,2020,1.0090082
BOL,2021,1
BOL,2022,1.0024638
BOL,2023,1.0014627
BWA,1964,1.0725418
BWA,1965,1.019467
BWA,1966,1.0385195
BWA,1967,1.1679355
BWA,1968,1.2023717
BWA,1969,1.1361998
BWA,1970,1.118531
BWA,1971,1.1573421
BWA,1972,1.1968058
BWA,1973,1.2310787
BWA,1974,1.2232456
BWA,1975,1.2398468
BWA,1976,1.315521
BWA,1977,1.3968244
BWA,1978,1.4916098
BWA,1979,1.593593
BWA,1980,1.6486408
BWA,1981,1.653474
BWA,1982,1.6370759
BWA,1983,1.706396
BWA,1984,1.8096004
BWA,1985,1.8291113
BWA,1986,1.8351523
BWA,1987,1.8498924
BWA,1988,1.8991311
BWA,1989,2.1934614
BWA,1990,2.0772824
BWA,1991,2.002596
BWA,1992,1.913961
BWA,1993,1.8334061
BWA,1994,1.7990783
BWA,1995,1.8169732
BWA,1996,1.8128814
BWA,1997,1.8535763
BWA,1998,1.7119786
BWA,1999,1.7327105
BWA,2000,1.6487021
BWA,2001,1.5674025
BWA,2002,1.5836822
BWA,2003,1.587907
BWA,2004,1.5564983
