Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BGD,5.309910797,5.470588542,5.448665141,5.359331468,5.514048718,5.445473719,5.998064082,5.582903418,6.153438202,5.851063658,5.804682835,5.485218348,3.983848151,8.521769535,9.251323716,7.04227568,9.283922984,11.22620919,9.910996048,9.861451587,14.4874848,13.98206522,13.9391494,15.04367939,15.6039256,14.45807009,14.22323064,13.47380665,13.42203116,12.90563053,13.23921855,13.98712269,14.39746369,15.41253836,15.86945466,15.90000685,14.00264514,14.11978066,14.85983116,14.38909508,14.03531575,14.17835702,14.31743755,14.14546156,14.44207319,14.74399876,15.30756218,15.93407299,16.12436697,16.48018606,16.12122836,15.99673425,15.91422067,16.44201947,16.61270766,16.78867356,20.3479481,20.07506151,20.80229593,21.20794388,20.59833159,21.23567299,21.76481936,22.34201887,21.89296036,22.44139908
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24673495,14.4669591,15.09656264,13.98170618,14.58947024,15.04749323,14.76455787,14.69942764,14.83853648,17.17328658,17.84164689,18.18448911,17.17069197,17.04070226,18.04689442,20.52895561,20.9350892,20.12978825,19.86678054,19.89450415
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.292586545,3.804106128,4.800781702,4.359440335,4.262807245,4.110647438,3.532691747,4.27179274,2.346676437,1.996130668,2.734299253,2.887400065,2.21211542,2.525570984,2.412602352,2.686827258,2.391167321,2.521822518,2.295085673,2.098612958,2.092775367,2.127625855,2.191560457,2.945785605,2.605175985,2.650124337,2.482766777,3.072157833,2.607878267,2.180323265,2.094599684,1.942450208,1.906621251,1.078665592,0.855198968,0.629705422,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.50560362,11.43649852,11.43649964,11.22184186,12.06927902,10.7000739,9.296022749,9.406457855,9.313524222,9.299792518,9.117743449,9.942766707,10.01778722,10.81107321,11.0122791,10.47754043,10.88480804,10.91601273,10.54511041,10.93711638,10.94019508,11.11779216,11.81382636,12.56398249,12.7319507,12.48001384,12.66183705,13.98630046,14.37138303,13.27653281,12.69832054,12.02799242
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.10623557,44.44444444,39.13043478,28.12182741,27.01624234,27.97624441,29.55811905,30.39936755,29.47700029,28.19639637,27.04350873,26.5995854,25.96840651,26.65350282,28.55028225,25.3421468,24.99981077,24.90693694,26.18436746,22.45711032,22.51049771,26.42142264,24.78109232,21.99565074,21.08754522,20.64429899,20.15218696,21.6291152,21.2579004,21.63990615,21.48679409,22.75838285,23.99409521,22.159252,20.87681216,20.50611507
BLZ,,,,,,,,,,,,,,,,,,,16.54438738,13.80105402,18.72571873,15.70469799,12.35163951,13.75166889,14.8785948,12.60006961,11.6211878,14.17407707,13.80946732,12.75707595,11.48543558,10.44967664,10.2675255,9.836064266,9.830365958,9.838157735,10.11699333,9.836564467,10.31272368,9.896694857,10.38529507,8.913329832,8.451015488,7.954595355,7.93612993,7.903830731,7.806921141,7.615641618,7.417411083,7.772103617,7.300385754,6.968042889,7.44862965,7.368893968,7.056427003,6.962299379,6.816374022,6.645340807,6.214874433,6.214356419,6.706593211,6.565996443,6.690179828,6.490611461,6.59392256,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.108038537,2.135436403,1.709412938,1.742233544,1.647653229,,,,,0.855449206,0.703756924,0.597959797,0.51712437,0.480075734,0.514175208,0.431063531,0.463659127,0.487269749,0.516039343,0.336384138,0.347076428,0.354111879,0.327212532,0.310239851,
BOL,,,,,,,,,,,13.26767092,13.537185,12.8708134,12.84821146,12.27811355,12.2906189,12.81577551,12.57490593,12.3853089,13.0517681,12.8762617,14.72290291,7.503661854,11.99601927,11.33298141,16.03432235,18.86379714,17.08493592,17.82811441,16.98543704,16.96302627,17.73056686,17.14141034,16.87257566,16.6578935,16.72941711,16.42552525,14.52022558,13.99206426,13.5941304,13.24110584,13.34477192,13.03542179,12.78444761,12.50745462,11.62694489,11.33160286,11.41491615,11.16847386,11.61672571,11.27002247,10.33846377,10.21420878,9.927811227,9.738327963,10.19119085,10.98422154,11.56848906,11.18229585,11.23860282,11.35857902,12.02318117,12.25621548,11.8359231,13.06615006,
BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.13137265,21.98627001,34.35240184,33.89432342,32.68232757,33.99101858,32.3846426,30.69835393,29.89247327,29.97722917,29.26089573,22.82813145,21.83906711,23.30859643,26.04973648,23.7212337,14.54227915,13.06719124,13.01862538,12.1551372,12.30853333,13.13465959,13.08953794,12.35696267,14.45076456,15.09953016,14.73828114,14.10894587,14.15426481,13.9551769,13.05946215,12.72185961,11.78379767,10.67594231,10.47961229,10.3370974,10.52093746,10.78645111,10.72149801,10.52845738,10.33250053,10.69293157,11.90437301,13.07408163,13.25316362,12.11080652,11.77226328
